,X,Y
1,483.3534371,511.3780804
2,477.6024643,446.2003891
3,448.8476005,423.1964981
4,316.575227,361.8527886
5,293.5713359,335.0149157
6,264.8164721,312.0110246
7,274.4014267,227.6634241
8,374.0849546,237.2483787
9,420.0927367,239.1653696
10,471.8514916,227.6634241
11,546.6141375,250.6673152
12,531.2782101,405.9435798
13,544.6971466,434.6984436
14,546.6141375,480.7062257
15,546.6141375,578.4727626
16,548.5311284,657.0693904
17,472.86,612.23
18,470.34,710.5
19,476.64,806.28
20,476.64,851.64
21,474.12,912.12
22,474.12,912.12
23,469.08,970.08
24,451.44,1015.44
25,482.94,1072.14
26,567.61,944.11
27,561.61,878.16
28,560.11,770.22
29,561.61,752.24
30,564.61,998.07
